y	x1	x2	x3
1	301	401	1203
2	302	402	1206
3	303	403	1209
4	304	404	1212
5	305	405	1215
6	306	406	1218
7	307	407	1221
8	308	408	1224
9	309	409	1227
10	310	410	1230
11	311	411	1233
12	312	412	1236
13	313	413	1239
14	314	414	1242
15	315	415	1245
16	316	416	1248
17	317	417	1251
18	318	418	1254
19	319	419	1257
20	320	420	1260
21	321	421	1263
22	322	422	1266
23	323	423	1269
24	324	424	1272
25	325	425	1275
26	326	426	1278
27	327	427	1281
28	328	428	1284
29	329	429	1287
30	330	430	1290
31	331	431	1293
32	332	432	1296
33	333	433	1299
34	334	434	1302
35	335	435	1305
36	336	436	1308
37	337	437	1311
38	338	438	1314
39	339	439	1317
40	340	440	1320
41	341	441	1323
42	342	442	1326
43	343	443	1329
44	344	444	1332
45	345	445	1335
46	346	446	1338
47	347	447	1341
48	348	448	1344
49	349	449	1347
50	350	450	1350
51	351	451	1353
52	352	452	1356
53	353	453	1359
54	354	454	1362
55	355	455	1365
56	356	456	1368
57	357	457	1371
58	358	458	1374
59	359	459	1377
60	360	460	1380
61	361	461	1383
62	362	462	1386
63	363	463	1389
64	364	464	1392
65	365	465	1395
66	366	466	1398
67	367	467	1401
68	368	468	1404
69	369	469	1407
70	370	470	1410
71	371	471	1413
72	372	472	1416
73	373	473	1419
74	374	474	1422
75	375	475	1425
76	376	476	1428
77	377	477	1431
78	378	478	1434
79	379	479	1437
80	380	480	1440
81	381	481	1443
82	382	482	1446
83	383	483	1449
84	384	484	1452
85	385	485	1455
86	386	486	1458
87	387	487	1461
88	388	488	1464
89	389	489	1467
90	390	490	1470
91	391	491	1473
92	392	492	1476
93	393	493	1479
94	394	494	1482
95	395	495	1485
96	396	496	1488
97	397	497	1491
98	398	498	1494
99	399	499	1497
100	400	500	1500
101	401	501	1503
102	402	502	1506
103	403	503	1509
104	404	504	1512
105	405	505	1515
106	406	506	1518
107	407	507	1521
108	408	508	1524
109	409	509	1527
110	410	510	1530
111	411	511	1533
112	412	512	1536
113	413	513	1539
114	414	514	1542
115	415	515	1545
116	416	516	1548
117	417	517	1551
118	418	518	1554
119	419	519	1557
120	420	520	1560
121	421	521	1563
122	422	522	1566
123	423	523	1569
124	424	524	1572
125	425	525	1575
126	426	526	1578
127	427	527	1581
128	428	528	1584
129	429	529	1587
130	430	530	1590
131	431	531	1593
132	432	532	1596
133	433	533	1599
134	434	534	1602
135	435	535	1605
136	436	536	1608
137	437	537	1611
138	438	538	1614
139	439	539	1617
140	440	540	1620
141	441	541	1623
142	442	542	1626
143	443	543	1629
144	444	544	1632
145	445	545	1635
146	446	546	1638
147	447	547	1641
148	448	548	1644
149	449	549	1647
150	450	550	1650
151	451	551	1653
152	452	552	1656
153	453	553	1659
154	454	554	1662
155	455	555	1665
156	456	556	1668
157	457	557	1671
158	458	558	1674
159	459	559	1677
160	460	560	1680
161	461	561	1683
162	462	562	1686
163	463	563	1689
164	464	564	1692
165	465	565	1695
166	466	566	1698
167	467	567	1701
168	468	568	1704
169	469	569	1707
170	470	570	1710
171	471	571	1713
172	472	572	1716
173	473	573	1719
174	474	574	1722
175	475	575	1725
176	476	576	1728
177	477	577	1731
178	478	578	1734
179	479	579	1737
180	480	580	1740
181	481	581	1743
182	482	582	1746
183	483	583	1749
184	484	584	1752
185	485	585	1755
186	486	586	1758
187	487	587	1761
188	488	588	1764
189	489	589	1767
190	490	590	1770
191	491	591	1773
192	492	592	1776
193	493	593	1779
194	494	594	1782
195	495	595	1785
196	496	596	1788
197	497	597	1791
198	498	598	1794
199	499	599	1797
200	500	600	1800
201	501	601	1803
202	502	602	1806
203	503	603	1809
204	504	604	1812
205	505	605	1815
206	506	606	1818
207	507	607	1821
208	508	608	1824
209	509	609	1827
210	510	610	1830
211	511	611	1833
212	512	612	1836
213	513	613	1839
214	514	614	1842
215	515	615	1845
216	516	616	1848
217	517	617	1851
218	518	618	1854
219	519	619	1857
220	520	620	1860
221	521	621	1863
222	522	622	1866
223	523	623	1869
224	524	624	1872
225	525	625	1875
226	526	626	1878
227	527	627	1881
228	528	628	1884
229	529	629	1887
230	530	630	1890
231	531	631	1893
232	532	632	1896
233	533	633	1899
234	534	634	1902
235	535	635	1905
236	536	636	1908
237	537	637	1911
238	538	638	1914
239	539	639	1917
240	540	640	1920
